ibex_close,tasa_desempleo,prima,pib_trim_per_capita
3082.5,21.2,428.0,2.8
3131.89990234375,21.2,428.0,2.8
3153.89990234375,21.2,432.0,2.8
3142.10009765625,21.2,413.0,2.8
3124.89990234375,21.2,414.0,2.8
3144.800048828125,21.2,411.0,2.8
3152.0,21.2,414.0,2.8
3123.5,21.2,411.0,2.8
3150.699951171875,21.2,410.0,2.8
3141.699951171875,21.2,406.0,2.8
3107.89990234375,21.2,405.0,2.8
3089.89990234375,21.2,406.0,2.8
3055.800048828125,21.2,407.0,2.8
3059.0,21.2,419.0,2.8
3045.60009765625,21.2,418.0,2.8
3072.60009765625,21.2,418.0,2.8
3051.5,21.2,439.0,2.8
3012.10009765625,21.2,421.0,2.8
3024.5,21.2,443.0,2.8
3037.60009765625,21.2,440.0,2.8
3091.89990234375,20.9,447.0,2.8
3056.300048828125,20.9,445.0,2.8
3054.39990234375,20.9,450.0,2.8
2976.10009765625,20.9,481.0,2.8
2914.89990234375,20.9,503.0,2.8
2871.10009765625,20.9,492.0,2.8
2893.699951171875,20.9,507.0,2.8
2885.39990234375,20.9,502.0,2.8
2921.5,20.9,494.0,2.8
2886.39990234375,20.9,494.0,2.8
2917.5,20.9,503.0,2.8
2889.199951171875,20.9,515.0,2.8
2896.89990234375,20.9,529.0,2.8
2888.39990234375,20.9,534.0,2.8
2865.10009765625,20.9,525.0,2.8
2885.39990234375,20.9,532.0,2.8
2911.60009765625,20.9,523.0,2.8
2898.10009765625,20.9,516.0,2.8
2883.60009765625,20.9,524.0,2.8
2946.5,20.9,533.0,2.8
2931.699951171875,20.9,502.0,2.8
2933.300048828125,20.9,508.0,2.8
2985.5,20.6,515.0,2.9
3009.39990234375,20.6,502.0,2.9
2989.800048828125,20.6,508.0,2.9
3007.60009765625,20.6,495.0,2.9
3016.699951171875,20.6,485.0,2.9
3006.0,20.6,486.0,2.9
3011.199951171875,20.6,492.0,2.9
3035.300048828125,20.6,504.0,2.9
3011.39990234375,20.6,505.0,2.9
2992.39990234375,20.6,508.0,2.9
2987.800048828125,20.6,512.0,2.9
3005.300048828125,20.6,509.0,2.9
3008.699951171875,20.6,501.0,2.9
3013.199951171875,20.6,503.0,2.9
3027.800048828125,20.6,505.0,2.9
3075.800048828125,20.6,510.0,2.9
3091.89990234375,20.6,507.0,2.9
3161.199951171875,20.6,496.0,2.9
3193.199951171875,20.5,491.0,2.9
3191.300048828125,20.5,486.0,2.9
3252.0,20.5,479.0,2.9
3271.89990234375,20.5,468.0,2.9
3290.300048828125,20.5,459.0,2.9
3282.5,20.5,419.0,2.9
3240.89990234375,20.5,430.0,2.9
3233.89990234375,20.5,446.0,2.9
3230.199951171875,20.5,442.0,2.9
3225.39990234375,20.5,451.0,2.9
3212.199951171875,20.5,449.0,2.9
3267.89990234375,20.5,465.0,2.9
3297.300048828125,20.5,462.0,2.9
3316.199951171875,20.5,452.0,2.9
3253.800048828125,20.5,448.0,2.9
3230.800048828125,20.5,448.0,2.9
3210.199951171875,20.5,467.0,2.9
3226.0,20.5,477.0,2.9
3226.5,20.5,488.0,2.9
3253.199951171875,20.5,493.0,2.9
3260.39990234375,20.6,491.0,2.9
3269.10009765625,20.6,476.0,2.9
3261.5,20.6,476.0,2.9
3250.0,20.6,473.0,2.9
3264.60009765625,20.6,472.0,2.9
3242.800048828125,20.6,481.0,2.9
3214.199951171875,20.6,459.0,2.9
3235.300048828125,20.6,490.0,2.9
3237.5,20.6,479.0,2.9
3230.800048828125,20.6,484.0,2.9
3223.5,20.6,484.0,2.9
3235.699951171875,20.6,495.0,2.9
3223.5,20.6,491.0,2.9
3217.5,20.6,488.0,2.9
3236.699951171875,20.6,489.0,2.9
3260.10009765625,20.6,485.0,2.9
3261.5,20.6,487.0,2.9
3260.0,20.6,489.0,2.9
3234.300048828125,20.6,498.0,2.9
3223.5,20.6,492.0,2.9
3219.10009765625,20.6,481.0,2.9
3219.60009765625,20.6,485.0,2.9
3240.39990234375,20.7,483.0,2.9
3245.60009765625,20.7,479.0,2.9
3232.5,20.7,480.0,2.9
3317.0,20.7,486.0,2.9
3343.39990234375,20.7,474.0,2.9
3376.300048828125,20.7,467.0,2.9
3368.0,20.7,456.0,2.9
3344.89990234375,20.7,451.0,2.9
3330.10009765625,20.7,445.0,2.9
3355.699951171875,20.7,445.0,2.9
3321.300048828125,20.7,451.0,2.9
3312.800048828125,20.7,457.0,2.9
3279.699951171875,20.7,451.0,2.9
3288.89990234375,20.7,453.0,2.9
3331.0,20.7,436.0,2.9
3349.39990234375,20.7,433.0,2.9
3363.300048828125,20.7,442.0,2.9
3378.0,20.7,436.0,2.9
3359.199951171875,20.7,437.0,2.9
3373.39990234375,20.7,446.0,2.9
3389.699951171875,20.7,446.0,2.9
3461.39990234375,20.8,439.0,2.9
3453.699951171875,20.8,440.0,2.9
3474.300048828125,20.8,436.0,2.9
3482.89990234375,20.8,436.0,2.9
3471.0,20.8,429.0,2.9
3459.199951171875,20.8,431.0,2.9
3481.300048828125,20.8,431.0,2.9
3510.89990234375,20.8,426.0,2.9
3497.800048828125,20.8,419.0,2.9
3526.89990234375,20.8,416.0,2.9
3511.199951171875,20.8,413.0,2.9
3513.699951171875,20.8,413.0,2.9
3514.39990234375,20.8,424.0,2.9
3494.0,20.8,425.0,2.9
3492.89990234375,20.8,421.0,2.9
3513.800048828125,20.8,425.0,2.9
3516.800048828125,20.8,424.0,2.9
3494.300048828125,20.8,427.0,2.9
3474.39990234375,20.8,432.0,2.9
3472.39990234375,20.8,433.0,2.9
3432.800048828125,20.8,432.0,2.9
3454.0,20.8,435.0,2.9
3456.0,20.9,446.0,2.9
3455.5,20.9,442.0,2.9
3480.0,20.9,437.0,2.9
3472.39990234375,20.9,434.0,2.9
3489.800048828125,20.9,429.0,2.9
3513.5,20.9,420.0,2.9
3526.39990234375,20.9,415.0,2.9
3541.699951171875,20.9,407.0,2.9
3537.89990234375,20.9,407.0,2.9
3521.39990234375,20.9,404.0,2.9
3496.300048828125,20.9,403.0,2.9
3513.800048828125,20.9,415.0,2.9
3507.10009765625,20.9,419.0,2.9
3496.300048828125,20.9,421.0,2.9
3423.39990234375,20.9,431.0,2.9
3382.800048828125,20.9,438.0,2.9
3401.800048828125,20.9,447.0,2.9
3361.10009765625,20.9,434.0,2.9
3343.39990234375,20.9,428.0,2.9
3376.800048828125,20.9,437.0,2.9
3361.39990234375,20.9,433.0,2.9
3338.300048828125,20.7,428.0,3.0
3340.60009765625,20.7,428.0,3.0
3319.800048828125,20.7,430.0,3.0
3275.699951171875,20.7,429.0,3.0
3227.89990234375,20.7,437.0,3.0
3244.800048828125,20.7,440.0,3.0
3271.60009765625,20.7,441.0,3.0
3334.89990234375,20.7,437.0,3.0
3318.300048828125,20.7,430.0,3.0
3306.5,20.7,433.0,3.0
3328.0,20.7,428.0,3.0
3313.10009765625,20.7,429.0,3.0
3264.0,20.7,429.0,3.0
3189.199951171875,20.7,440.0,3.0
3201.0,20.7,438.0,3.0
3256.0,20.7,444.0,3.0
3231.5,20.7,446.0,3.0
3214.800048828125,20.7,443.0,3.0
3252.199951171875,20.7,438.0,3.0
3277.300048828125,20.7,440.0,3.0
3287.39990234375,20.7,441.0,3.0
3278.0,20.7,436.0,3.0
3269.699951171875,20.7,432.0,3.0
3305.800048828125,20.7,439.0,3.0
3316.60009765625,20.7,436.0,3.0
3316.800048828125,20.7,431.0,3.0
3298.800048828125,20.7,431.0,3.0
3305.699951171875,20.7,439.0,3.0
3325.60009765625,20.7,437.0,3.0
3319.699951171875,20.7,432.0,3.0
3364.39990234375,20.7,430.0,3.0
3349.199951171875,20.7,428.0,3.0
3384.300048828125,20.7,427.0,3.0
3395.800048828125,20.7,421.0,3.0
3454.800048828125,20.7,421.0,3.0
3466.699951171875,20.7,415.0,3.0
3510.300048828125,20.7,412.0,3.0
3514.39990234375,20.7,408.0,3.0
3491.5,20.7,400.0,3.0
3504.60009765625,20.7,402.0,3.0
3510.10009765625,20.7,403.0,3.0
3543.5,20.7,413.0,3.0
3530.89990234375,20.5,405.0,3.0
3538.800048828125,20.5,410.0,3.0
3528.39990234375,20.5,413.0,3.0
3545.39990234375,20.5,407.0,3.0
3546.5,20.5,405.0,3.0
3533.0,20.5,399.0,3.0
3554.300048828125,20.5,400.0,3.0
3577.10009765625,20.5,388.0,3.0
3566.39990234375,20.5,383.0,3.0
3529.0,20.5,382.0,3.0
3601.5,20.5,383.0,3.0
3623.699951171875,20.5,378.0,3.0
3633.800048828125,20.5,371.0,3.0
3633.800048828125,20.5,368.0,3.0
3537.39990234375,20.5,368.0,3.0
3599.199951171875,20.5,368.0,3.0
3630.800048828125,20.5,368.0,3.0
3685.39990234375,20.5,371.0,3.0
3717.699951171875,20.4,365.0,3.1
3718.199951171875,20.4,360.0,3.1
3693.5,20.4,352.0,3.1
3696.60009765625,20.4,358.0,3.1
3689.699951171875,20.4,360.0,3.1
3655.699951171875,20.4,358.0,3.1
3651.300048828125,20.4,358.0,3.1
3679.300048828125,20.4,362.0,3.1
3680.10009765625,20.4,359.0,3.1
3703.60009765625,20.4,353.0,3.1
3718.300048828125,20.4,353.0,3.1
3735.39990234375,20.4,354.0,3.1
3742.10009765625,20.4,350.0,3.1
3733.5,20.4,351.0,3.1
3710.800048828125,20.4,353.0,3.1
3735.800048828125,20.4,359.0,3.1
3753.0,20.4,355.0,3.1
3720.699951171875,20.4,359.0,3.1
3678.60009765625,20.4,373.0,3.1
3707.10009765625,20.4,374.0,3.1
3734.5,20.4,364.0,3.1
3750.89990234375,20.4,367.0,3.1
3727.39990234375,20.3,364.0,3.1
3680.800048828125,20.3,365.0,3.1
3694.60009765625,20.3,369.0,3.1
3697.89990234375,20.3,360.0,3.1
3660.39990234375,20.3,360.0,3.1
3685.39990234375,20.3,365.0,3.1
3691.5,20.3,361.0,3.1
3732.0,20.3,358.0,3.1
3729.39990234375,20.3,344.0,3.1
3786.10009765625,20.3,357.0,3.1
3790.10009765625,20.3,347.0,3.1
3782.0,20.3,354.0,3.1
3780.199951171875,20.3,359.0,3.1
3837.39990234375,20.3,359.0,3.1
3863.60009765625,20.3,337.0,3.1
3862.10009765625,20.3,352.0,3.1
3847.5,20.3,338.0,3.1
3858.199951171875,20.3,345.0,3.1
3909.89990234375,20.3,328.0,3.1
3915.5,20.3,323.0,3.1
3918.199951171875,20.3,326.0,3.1
3713.800048828125,20.3,333.0,3.1
3652.800048828125,20.3,360.0,3.1
