ibex_close,tasa_desempleo,prima,pib_trim_per_capita,deuda_perc_pib
3529.0,20.5,383.0,3.0,61.71
3601.5,20.5,378.0,3.0,61.71
3623.699951171875,20.5,371.0,3.0,61.71
3633.800048828125,20.5,368.0,3.0,61.71
3633.800048828125,20.5,368.0,3.0,61.71
3537.39990234375,20.5,368.0,3.0,61.71
3599.199951171875,20.5,368.0,3.0,61.71
3630.800048828125,20.5,371.0,3.0,61.71
3685.39990234375,20.4,365.0,3.1,62.55
3717.699951171875,20.4,360.0,3.1,62.55
3718.199951171875,20.4,352.0,3.1,62.55
3693.5,20.4,358.0,3.1,62.55
3696.60009765625,20.4,360.0,3.1,62.55
3689.699951171875,20.4,358.0,3.1,62.55
3655.699951171875,20.4,358.0,3.1,62.55
3651.300048828125,20.4,362.0,3.1,62.55
3679.300048828125,20.4,359.0,3.1,62.55
3680.10009765625,20.4,353.0,3.1,62.55
3703.60009765625,20.4,353.0,3.1,62.55
3718.300048828125,20.4,354.0,3.1,62.55
3735.39990234375,20.4,350.0,3.1,62.55
3742.10009765625,20.4,351.0,3.1,62.55
3733.5,20.4,353.0,3.1,62.55
3710.800048828125,20.4,359.0,3.1,62.55
3735.800048828125,20.4,355.0,3.1,62.55
3753.0,20.4,359.0,3.1,62.55
3720.699951171875,20.4,373.0,3.1,62.55
3678.60009765625,20.4,374.0,3.1,62.55
3707.10009765625,20.4,364.0,3.1,62.55
3734.5,20.4,367.0,3.1,62.55
3750.89990234375,20.3,364.0,3.1,62.95
3727.39990234375,20.3,365.0,3.1,62.95
3680.800048828125,20.3,369.0,3.1,62.95
3694.60009765625,20.3,360.0,3.1,62.95
3697.89990234375,20.3,360.0,3.1,62.95
3660.39990234375,20.3,365.0,3.1,62.95
3685.39990234375,20.3,361.0,3.1,62.95
3691.5,20.3,358.0,3.1,62.95
3732.0,20.3,344.0,3.1,62.95
3729.39990234375,20.3,357.0,3.1,62.95
3786.10009765625,20.3,347.0,3.1,62.95
3790.10009765625,20.3,354.0,3.1,62.95
3782.0,20.3,359.0,3.1,62.95
3780.199951171875,20.3,359.0,3.1,62.95
3837.39990234375,20.3,337.0,3.1,62.95
3863.60009765625,20.3,352.0,3.1,62.95
3862.10009765625,20.3,338.0,3.1,62.95
3847.5,20.3,345.0,3.1,62.95
3858.199951171875,20.3,328.0,3.1,62.95
3909.89990234375,20.3,323.0,3.1,62.95
3915.5,20.3,326.0,3.1,62.95
3918.199951171875,20.3,333.0,3.1,62.66
3713.800048828125,20.3,360.0,3.1,62.66
3652.800048828125,20.3,364.0,3.1,62.66
3720.800048828125,20.3,365.0,3.1,62.66
3755.199951171875,20.3,357.0,3.1,62.66
3762.300048828125,20.3,349.0,3.1,62.66
3703.5,20.3,352.0,3.1,62.66
3694.300048828125,20.3,353.0,3.1,62.66
3688.699951171875,20.3,353.0,3.1,62.66
3700.60009765625,20.3,351.0,3.1,62.66
3685.800048828125,20.3,365.0,3.1,62.66
3717.699951171875,20.3,349.0,3.1,62.66
3747.0,20.3,349.0,3.1,62.66
3747.0,20.3,345.0,3.1,62.66
3810.10009765625,20.3,336.0,3.1,62.66
3791.5,20.3,339.0,3.1,62.66
3842.39990234375,20.3,333.0,3.1,62.66
3823.699951171875,20.3,331.0,3.1,62.66
3839.39990234375,20.3,323.0,3.1,62.66
3830.199951171875,20.3,324.0,3.1,62.66
3857.10009765625,20.3,329.0,3.1,62.66
3862.699951171875,20.1,324.0,3.1,62.83
3879.89990234375,20.1,318.0,3.1,62.83
3894.800048828125,20.1,311.0,3.1,62.83
3850.60009765625,20.1,311.0,3.1,62.83
3886.199951171875,20.1,304.0,3.1,62.83
3911.0,20.1,304.0,3.1,62.83
3888.699951171875,20.1,304.0,3.1,62.83
3918.10009765625,20.1,291.0,3.1,62.83
3949.60009765625,20.1,291.0,3.1,62.83
3954.199951171875,20.1,287.0,3.1,62.83
3964.199951171875,20.1,287.0,3.1,62.83
3984.60009765625,20.1,272.0,3.1,62.83
4038.5,20.1,273.0,3.1,62.83
4070.300048828125,20.1,276.0,3.1,62.83
4058.5,20.1,279.0,3.1,62.83
4070.60009765625,20.1,279.0,3.1,62.83
4096.0,20.1,271.0,3.1,62.83
4124.2998046875,20.1,270.0,3.1,62.83
4112.2001953125,20.1,282.0,3.1,62.83
4082.89990234375,20.1,280.0,3.1,62.83
4060.800048828125,20.1,279.0,3.1,62.71
4062.89990234375,20.1,273.0,3.1,62.71
4036.5,20.1,270.0,3.1,62.71
4004.10009765625,20.1,277.0,3.1,62.71
4015.10009765625,20.1,287.0,3.1,62.71
4057.89990234375,20.1,291.0,3.1,62.71
4062.89990234375,20.1,276.0,3.1,62.71
4069.0,20.1,278.0,3.1,62.71
4067.60009765625,20.1,311.0,3.1,62.71
4109.7001953125,20.1,276.0,3.1,62.71
4143.39990234375,20.1,273.0,3.1,62.71
4155.2001953125,20.1,273.0,3.1,62.71
4128.10009765625,20.1,271.0,3.1,62.71
4137.60009765625,20.1,272.0,3.1,62.71
4137.5,20.1,272.0,3.1,62.71
4150.7001953125,20.1,272.0,3.1,62.71
4166.89990234375,20.1,262.0,3.1,62.71
4155.2998046875,20.1,265.0,3.1,62.71
4126.0,20.1,267.0,3.1,62.71
4111.7001953125,20.1,270.0,3.1,62.71
4088.699951171875,20.2,277.0,3.1,62.38
4116.5,20.2,270.0,3.1,62.38
4125.2001953125,20.2,272.0,3.1,62.38
4168.39990234375,20.2,272.0,3.1,62.38
4136.5,20.2,272.0,3.1,62.38
4173.2001953125,20.2,265.0,3.1,62.38
4224.39990234375,20.2,262.0,3.1,62.38
4255.60009765625,20.2,256.0,3.1,62.38
4242.0,20.2,252.0,3.1,62.38
4237.10009765625,20.2,258.0,3.1,62.38
4224.0,20.2,258.0,3.1,62.38
4251.0,20.2,255.0,3.1,62.38
4228.2001953125,20.2,249.0,3.1,62.38
4211.5,20.2,246.0,3.1,62.38
4241.5,20.2,239.0,3.1,62.38
4264.39990234375,20.2,236.0,3.1,62.38
4269.39990234375,20.2,233.0,3.1,62.38
4258.0,20.2,234.0,3.1,62.38
4233.10009765625,20.2,233.0,3.1,62.38
4264.10009765625,20.2,231.0,3.1,62.38
4278.2998046875,20.1,232.0,3.1,62.69
4255.89990234375,20.1,227.0,3.1,62.69
4228.7001953125,20.1,231.0,3.1,62.69
4249.7001953125,20.1,228.0,3.1,62.69
4192.7001953125,20.1,230.0,3.1,62.69
4193.0,20.1,222.0,3.1,62.69
4210.0,20.1,215.0,3.1,62.69
4210.0,20.1,225.0,3.1,62.69
4151.2001953125,20.1,223.0,3.1,62.69
4114.7001953125,20.1,224.0,3.1,62.69
4056.800048828125,20.1,227.0,3.1,62.69
3985.5,20.1,233.0,3.1,62.69
4001.89990234375,20.1,241.0,3.1,62.69
4037.10009765625,20.1,237.0,3.1,62.69
4055.10009765625,20.1,233.0,3.1,62.69
3995.5,20.1,224.0,3.1,62.69
4029.89990234375,20.1,224.0,3.1,62.69
3976.5,20.1,226.0,3.1,62.69
4010.800048828125,20.1,236.0,3.1,62.69
3964.300048828125,20.1,249.0,3.1,62.69
3935.699951171875,20.1,247.0,3.1,62.69
3932.39990234375,20.1,253.0,3.1,62.69
3979.39990234375,20.1,254.0,3.1,62.69
4040.0,19.8,249.0,3.1,62.22
4120.2001953125,19.8,245.0,3.1,62.22
4120.2001953125,19.8,246.0,3.1,62.22
4101.0,19.8,250.0,3.1,62.22
4072.39990234375,19.8,260.0,3.1,62.22
4070.10009765625,19.8,256.0,3.1,62.22
4030.5,19.8,268.0,3.1,62.22
4018.89990234375,19.8,263.0,3.1,62.22
4030.60009765625,19.8,265.0,3.1,62.22
4025.699951171875,19.8,261.0,3.1,62.22
4052.0,19.8,260.0,3.1,62.22
4012.300048828125,19.8,266.0,3.1,62.22
4022.199951171875,19.8,265.0,3.1,62.22
3997.800048828125,19.8,261.0,3.1,62.22
4060.199951171875,19.8,250.0,3.1,62.22
4070.0,19.8,250.0,3.1,62.22
4041.0,19.8,249.0,3.1,62.22
4075.5,19.8,248.0,3.1,62.22
4084.5,19.8,249.0,3.1,62.22
4046.199951171875,19.8,249.0,3.1,62.22
4025.5,19.8,246.0,3.1,62.22
4033.60009765625,19.7,243.0,3.1,62.84
4004.0,19.7,247.0,3.1,62.84
3966.199951171875,19.7,246.0,3.1,62.84
3953.300048828125,19.7,243.0,3.1,62.84
3963.10009765625,19.7,239.0,3.1,62.84
3987.89990234375,19.7,232.0,3.1,62.84
4003.699951171875,19.7,228.0,3.1,62.84
4001.300048828125,19.7,230.0,3.1,62.84
4030.39990234375,19.7,234.0,3.1,62.84
4079.300048828125,19.7,226.0,3.1,62.84
4101.60009765625,19.7,221.0,3.1,62.84
4083.60009765625,19.7,215.0,3.1,62.84
4069.800048828125,19.7,212.0,3.1,62.84
4082.199951171875,19.7,208.0,3.1,62.84
4093.60009765625,19.7,198.0,3.1,62.84
4098.0,19.7,187.0,3.1,62.84
4135.7001953125,19.7,195.0,3.1,62.84
4177.7998046875,19.7,197.0,3.1,62.84
4213.89990234375,19.7,190.0,3.1,62.84
4195.10009765625,19.7,179.0,3.1,62.84
4215.60009765625,19.7,182.0,3.1,62.84
4239.7001953125,19.5,185.0,3.1,63.84
4262.39990234375,19.5,179.0,3.1,63.84
4243.89990234375,19.5,179.0,3.1,63.84
4266.2998046875,19.5,186.0,3.1,63.84
