fecha,ibex_close,tasa_desempleo,prima,pib_trim_per_capita
1994-07-04,3204.10009765625,22.1,375.0,2.7
1994-07-05,3136.60009765625,22.1,389.0,2.7
1994-07-06,3093.89990234375,22.1,400.0,2.7
1994-07-07,3093.800048828125,22.1,392.0,2.7
1994-07-08,3118.60009765625,22.1,397.0,2.7
1994-07-11,3147.699951171875,22.1,401.0,2.7
1994-07-12,3183.60009765625,22.1,376.0,2.7
1994-07-13,3217.39990234375,22.1,363.0,2.7
1994-07-14,3235.699951171875,22.1,367.0,2.7
1994-07-15,3234.0,22.1,353.0,2.7
1994-07-18,3263.89990234375,22.1,366.0,2.7
1994-07-19,3273.199951171875,22.1,356.0,2.7
1994-07-20,3253.60009765625,22.1,347.0,2.7
1994-07-21,3254.800048828125,22.1,361.0,2.7
1994-07-22,3288.39990234375,22.1,354.0,2.7
1994-07-25,3304.800048828125,22.1,363.0,2.7
1994-07-26,3354.0,22.1,357.0,2.7
1994-07-27,3336.300048828125,22.1,356.0,2.7
1994-07-28,3313.89990234375,22.1,363.0,2.7
1994-07-29,3364.199951171875,22.1,359.0,2.7
1994-08-01,3427.89990234375,22.0,352.0,2.7
1994-08-02,3445.89990234375,22.0,329.0,2.7
1994-08-03,3434.39990234375,22.0,336.0,2.7
1994-08-04,3433.0,22.0,335.0,2.7
1994-08-05,3454.300048828125,22.0,338.0,2.7
1994-08-08,3469.199951171875,22.0,333.0,2.7
1994-08-09,3438.39990234375,22.0,335.0,2.7
1994-08-10,3440.199951171875,22.0,340.0,2.7
1994-08-11,3408.199951171875,22.0,326.0,2.7
1994-08-12,3342.89990234375,22.0,374.0,2.7
1994-08-15,3342.89990234375,22.0,372.0,2.7
1994-08-16,3320.10009765625,22.0,382.0,2.7
1994-08-17,3301.300048828125,22.0,384.0,2.7
1994-08-18,3273.10009765625,22.0,400.0,2.7
1994-08-19,3260.39990234375,22.0,380.0,2.7
1994-08-22,3228.89990234375,22.0,375.0,2.7
1994-08-23,3246.800048828125,22.0,378.0,2.7
1994-08-24,3267.89990234375,22.0,377.0,2.7
1994-08-25,3290.199951171875,22.0,367.0,2.7
1994-08-26,3322.89990234375,22.0,383.0,2.7
1994-08-29,3366.699951171875,22.0,374.0,2.7
1994-08-30,3352.199951171875,22.0,371.0,2.7
1994-08-31,3337.0,22.0,374.0,2.7
1994-09-01,3276.800048828125,22.0,372.0,2.7
1994-09-02,3239.699951171875,22.0,368.0,2.7
1994-09-05,3189.5,22.0,377.0,2.7
1994-09-06,3135.199951171875,22.0,378.0,2.7
1994-09-07,3176.5,22.0,384.0,2.7
1994-09-08,3262.5,22.0,391.0,2.7
1994-09-09,3232.699951171875,22.0,391.0,2.7
1994-09-12,3184.699951171875,22.0,380.0,2.7
1994-09-13,3227.10009765625,22.0,394.0,2.7
1994-09-14,3208.5,22.0,384.0,2.7
1994-09-15,3259.10009765625,22.0,391.0,2.7
1994-09-16,3218.60009765625,22.0,356.0,2.7
1994-09-19,3210.10009765625,22.0,363.0,2.7
1994-09-20,3166.10009765625,22.0,366.0,2.7
1994-09-21,3142.699951171875,22.0,358.0,2.7
1994-09-22,3140.89990234375,22.0,371.0,2.7
1994-09-23,3193.699951171875,22.0,360.0,2.7
1994-09-26,3175.60009765625,22.0,354.0,2.7
1994-09-27,3175.699951171875,22.0,356.0,2.7
1994-09-28,3234.89990234375,22.0,356.0,2.7
1994-09-29,3192.199951171875,22.0,351.0,2.7
1994-09-30,3176.60009765625,22.0,354.0,2.7
1994-10-03,3149.10009765625,21.8,354.0,2.8
1994-10-04,3165.199951171875,21.8,353.0,2.8
1994-10-05,3100.0,21.8,354.0,2.8
1994-10-06,3105.300048828125,21.8,354.0,2.8
1994-10-07,3122.89990234375,21.8,362.0,2.8
1994-10-10,3159.300048828125,21.8,351.0,2.8
1994-10-11,3173.39990234375,21.8,393.0,2.8
1994-10-13,3278.0,21.8,353.0,2.8
1994-10-14,3247.0,21.8,351.0,2.8
1994-10-17,3242.800048828125,21.8,355.0,2.8
1994-10-18,3189.39990234375,21.8,364.0,2.8
1994-10-19,3188.199951171875,21.8,353.0,2.8
1994-10-20,3184.199951171875,21.8,367.0,2.8
1994-10-21,3149.199951171875,21.8,373.0,2.8
1994-10-24,3155.0,21.8,363.0,2.8
1994-10-25,3108.0,21.8,357.0,2.8
1994-10-26,3101.39990234375,21.8,352.0,2.8
1994-10-27,3131.10009765625,21.8,359.0,2.8
1994-10-28,3186.60009765625,21.8,359.0,2.8
1994-10-31,3194.5,21.8,349.0,2.8
1994-11-02,3155.699951171875,21.8,362.0,2.8
1994-11-03,3185.5,21.8,362.0,2.8
1994-11-04,3202.89990234375,21.8,372.0,2.8
1994-11-07,3172.699951171875,21.8,369.0,2.8
1994-11-08,3166.10009765625,21.8,374.0,2.8
1994-11-10,3232.300048828125,21.8,378.0,2.8
1994-11-11,3229.300048828125,21.8,372.0,2.8
1994-11-14,3259.5,21.8,372.0,2.8
1994-11-15,3306.199951171875,21.8,378.0,2.8
1994-11-16,3278.199951171875,21.8,378.0,2.8
1994-11-17,3272.5,21.8,366.0,2.8
1994-11-18,3286.699951171875,21.8,369.0,2.8
1994-11-21,3308.800048828125,21.8,366.0,2.8
1994-11-22,3286.300048828125,21.8,371.0,2.8
1994-11-23,3253.5,21.8,371.0,2.8
1994-11-24,3276.0,21.8,375.0,2.8
1994-11-25,3296.199951171875,21.8,380.0,2.8
1994-11-28,3298.39990234375,21.8,376.0,2.8
1994-11-29,3262.5,21.8,374.0,2.8
1994-11-30,3287.10009765625,21.8,381.0,2.8
1994-12-01,3272.699951171875,21.6,380.0,2.8
1994-12-02,3290.60009765625,21.6,385.0,2.8
1994-12-05,3323.300048828125,21.6,383.0,2.8
1994-12-07,3318.89990234375,21.6,383.0,2.8
1994-12-09,3293.89990234375,21.6,386.0,2.8
1994-12-12,3271.89990234375,21.6,386.0,2.8
1994-12-13,3266.699951171875,21.6,389.0,2.8
1994-12-14,3261.800048828125,21.6,387.0,2.8
1994-12-15,3238.10009765625,21.6,390.0,2.8
1994-12-16,3250.5,21.6,388.0,2.8
1994-12-19,3230.300048828125,21.6,384.0,2.8
1994-12-20,3193.5,21.6,395.0,2.8
1994-12-21,3173.5,21.6,404.0,2.8
1994-12-22,3168.699951171875,21.6,410.0,2.8
1994-12-23,3189.300048828125,21.6,405.0,2.8
1994-12-27,3088.10009765625,21.6,423.0,2.8
1994-12-28,3029.5,21.6,421.0,2.8
1994-12-29,3036.10009765625,21.6,421.0,2.8
1994-12-30,3087.699951171875,21.6,421.0,2.8
1995-01-02,3092.199951171875,21.4,419.0,2.8
1995-01-03,3110.39990234375,21.4,411.0,2.8
1995-01-04,3107.199951171875,21.4,412.0,2.8
1995-01-05,3047.0,21.4,407.0,2.8
1995-01-09,3003.60009765625,21.4,424.0,2.8
1995-01-10,2987.800048828125,21.4,461.0,2.8
1995-01-11,2957.699951171875,21.4,437.0,2.8
1995-01-12,2963.10009765625,21.4,437.0,2.8
1995-01-13,3004.699951171875,21.4,448.0,2.8
1995-01-16,3041.699951171875,21.4,442.0,2.8
1995-01-17,3036.39990234375,21.4,432.0,2.8
1995-01-18,3041.199951171875,21.4,457.0,2.8
1995-01-19,3053.10009765625,21.4,443.0,2.8
1995-01-20,3023.300048828125,21.4,449.0,2.8
1995-01-23,2962.89990234375,21.4,438.0,2.8
1995-01-24,2987.89990234375,21.4,452.0,2.8
1995-01-25,3008.10009765625,21.4,440.0,2.8
1995-01-26,3043.300048828125,21.4,433.0,2.8
1995-01-27,3048.699951171875,21.4,437.0,2.8
1995-01-30,3038.199951171875,21.4,430.0,2.8
1995-01-31,3040.10009765625,21.4,430.0,2.8
1995-02-01,3072.0,21.2,428.0,2.8
1995-02-02,3082.5,21.2,428.0,2.8
1995-02-03,3131.89990234375,21.2,432.0,2.8
1995-02-06,3153.89990234375,21.2,413.0,2.8
1995-02-07,3142.10009765625,21.2,414.0,2.8
1995-02-08,3124.89990234375,21.2,411.0,2.8
1995-02-09,3144.800048828125,21.2,414.0,2.8
1995-02-10,3152.0,21.2,411.0,2.8
1995-02-13,3123.5,21.2,410.0,2.8
1995-02-14,3150.699951171875,21.2,406.0,2.8
1995-02-15,3141.699951171875,21.2,405.0,2.8
1995-02-16,3107.89990234375,21.2,406.0,2.8
1995-02-17,3089.89990234375,21.2,407.0,2.8
1995-02-20,3055.800048828125,21.2,419.0,2.8
1995-02-21,3059.0,21.2,418.0,2.8
1995-02-22,3045.60009765625,21.2,418.0,2.8
1995-02-23,3072.60009765625,21.2,439.0,2.8
1995-02-24,3051.5,21.2,421.0,2.8
1995-02-27,3012.10009765625,21.2,443.0,2.8
1995-02-28,3024.5,21.2,440.0,2.8
1995-03-01,3037.60009765625,20.9,447.0,2.8
1995-03-02,3091.89990234375,20.9,445.0,2.8
1995-03-03,3056.300048828125,20.9,450.0,2.8
1995-03-06,3054.39990234375,20.9,481.0,2.8
1995-03-07,2976.10009765625,20.9,503.0,2.8
1995-03-08,2914.89990234375,20.9,492.0,2.8
1995-03-09,2871.10009765625,20.9,507.0,2.8
1995-03-10,2893.699951171875,20.9,502.0,2.8
1995-03-13,2885.39990234375,20.9,494.0,2.8
1995-03-14,2921.5,20.9,494.0,2.8
