fecha,ibex_close,ibex_volume,deuda_perc_pib,gasto_perc_PIB,pib_trim_per_capita,var_pib,var_anual_pib,tasa_desempleo,tie,ipc,prima,eurusd_close,tim
2022-05-18,8476.400390625,156404000,116.27,46.4,6.974,1.7,10.9,12.9,0.0,0.8,109.0,1.0547856092453003,-0.00491
2022-05-19,8406.0,155481600,116.27,46.4,6.974,1.7,10.9,12.9,0.0,0.8,111.0,1.0472739934921265,-0.00491
2022-05-20,8484.5,172383300,116.27,46.4,6.974,1.7,10.9,12.9,0.0,0.8,114.0,1.057898759841919,-0.00491
2022-05-23,8625.7998046875,166876400,116.27,46.4,6.974,1.7,10.9,12.9,0.0,0.8,111.0,1.0569819211959839,-0.00491
2022-05-24,8631.2001953125,207033000,116.27,46.4,6.974,1.7,10.9,12.9,0.0,0.8,113.0,1.0682048797607422,-0.00491
2022-05-25,8760.2001953125,203488200,116.27,46.4,6.974,1.7,10.9,12.9,0.0,0.8,110.0,1.0736525058746338,-0.00491
2022-05-26,8888.7998046875,203819800,116.27,46.4,6.974,1.7,10.9,12.9,0.0,0.8,106.0,1.0686614513397217,-0.00491
2022-05-27,8933.599609375,194951400,116.27,46.4,6.974,1.7,10.9,12.9,0.0,0.8,107.0,1.0732953548431396,-0.00491
2022-05-30,8930.7998046875,159281100,116.27,46.4,6.974,1.7,10.9,12.9,0.0,0.8,108.0,1.0731456279754639,-0.00491
2022-05-31,8851.5,314821900,116.27,46.4,6.974,1.7,10.9,12.9,0.0,0.8,109.0,1.0773539543151855,-0.00491
2022-06-01,8747.2001953125,163198400,114.54,46.4,6.974,1.7,10.9,12.9,0.0,1.9,112.0,1.0734105110168457,-0.00491
2022-06-02,8744.099609375,103691200,114.54,46.4,6.974,1.7,10.9,12.9,0.0,1.9,114.0,1.0654165744781494,-0.00491
2022-06-03,8724.7998046875,95868700,114.54,46.4,6.974,1.7,10.9,12.9,0.0,1.9,116.0,1.0751069784164429,-0.00491
2022-06-06,8836.2998046875,124143400,114.54,46.4,6.974,1.7,10.9,12.9,0.0,1.9,115.0,1.0726046562194824,-0.00491
2022-06-07,8841.599609375,139318200,114.54,46.4,6.974,1.7,10.9,12.9,0.0,1.9,113.0,1.0691413879394531,-0.00491
2022-06-08,8842.7001953125,145183000,114.54,46.4,6.974,1.7,10.9,12.9,0.0,1.9,112.0,1.0698620080947876,-0.00491
2022-06-09,8711.2001953125,174009600,114.54,46.4,6.974,1.7,10.9,12.9,0.0,1.9,117.0,1.071765422821045,-0.00491
2022-06-10,8390.599609375,271499400,114.54,46.4,6.974,1.7,10.9,12.9,0.0,1.9,127.0,1.0619205236434937,-0.00491
2022-06-13,8183.2998046875,266905800,114.54,46.4,6.974,1.7,10.9,12.9,0.0,1.9,136.0,1.0489987134933472,-0.00491
2022-06-14,8066.39990234375,175608800,114.54,46.4,6.974,1.7,10.9,12.9,0.0,1.9,138.0,1.0415147542953491,-0.00387
2022-06-15,8174.7001953125,194099900,114.54,46.4,6.974,1.7,10.9,12.9,0.0,1.9,123.0,1.0440592765808105,-0.00387
2022-06-16,8078.10009765625,162994800,114.54,46.4,6.974,1.7,10.9,12.9,0.0,1.9,118.0,1.0456204414367676,-0.00387
2022-06-17,8145.89990234375,395310900,114.54,46.4,6.974,1.7,10.9,12.9,0.0,1.9,108.0,1.0546854734420776,-0.00387
2022-06-20,8286.0,143710700,114.54,46.4,6.974,1.7,10.9,12.9,0.0,1.9,111.0,1.049141764640808,-0.00387
2022-06-21,8235.599609375,157761600,114.54,46.4,6.974,1.7,10.9,12.9,0.0,1.9,109.0,1.0520778894424438,-0.00387
2022-06-22,8145.39990234375,162162400,114.54,46.4,6.974,1.7,10.9,12.9,0.0,1.9,107.0,1.053263545036316,-0.00387
2022-06-23,8106.39990234375,195483200,114.54,46.4,6.974,1.7,10.9,12.9,0.0,1.9,110.0,1.0564124584197998,-0.00387
2022-06-24,8244.099609375,174310900,114.54,46.4,6.974,1.7,10.9,12.9,0.0,1.9,111.0,1.052011489868164,-0.00387
2022-06-27,8242.599609375,132601700,114.54,46.4,6.974,1.7,10.9,12.9,0.0,1.9,112.0,1.0566133260726929,-0.00387
2022-06-28,8317.5,127855300,114.54,46.4,6.974,1.7,10.9,12.9,0.0,1.9,110.0,1.0580891370773315,-0.00387
2022-06-29,8188.0,139284000,114.54,46.4,6.974,1.7,10.9,12.9,0.0,1.9,109.0,1.0523545742034912,-0.00387
2022-06-30,8098.7001953125,222962400,114.54,46.4,6.974,1.7,10.9,12.9,0.0,1.9,109.0,1.04465913772583,-0.00387
2022-07-01,8176.10009765625,150837600,115.45,46.4,7.059,1.2,8.4,12.8,0.0,-0.3,105.0,1.0477677583694458,-0.00387
2022-07-04,8161.7998046875,117450800,115.45,46.4,7.059,1.2,8.4,12.8,0.0,-0.3,108.0,1.0433948040008545,-0.00387
2022-07-05,7959.39990234375,193250400,115.45,46.4,7.059,1.2,8.4,12.8,0.0,-0.3,112.0,1.0433186292648315,-0.00387
2022-07-06,7948.60009765625,249441900,115.45,46.4,7.059,1.2,8.4,12.8,0.0,-0.3,112.0,1.0257673263549805,-0.00387
2022-07-07,8122.5,200236500,115.45,46.4,7.059,1.2,8.4,12.8,0.0,-0.3,111.0,1.0186411142349243,-0.00387
2022-07-08,8100.2998046875,147633700,115.45,46.4,7.059,1.2,8.4,12.8,0.0,-0.3,107.0,1.0169836282730103,-0.00387
2022-07-11,8065.2001953125,130231900,115.45,46.4,7.059,1.2,8.4,12.8,0.0,-0.3,109.0,1.0166114568710327,-0.00387
2022-07-12,8014.7998046875,365803600,115.45,46.4,7.059,1.2,8.4,12.8,0.0,-0.3,109.0,1.004752516746521,-0.0021
2022-07-13,7944.89990234375,198608900,115.45,46.4,7.059,1.2,8.4,12.8,0.0,-0.3,111.0,1.0033109188079834,-0.0021
2022-07-14,7804.2998046875,197271700,115.45,46.4,7.059,1.2,8.4,12.8,0.0,-0.3,115.0,1.0032706260681152,-0.0021
2022-07-15,7945.89990234375,197816100,115.45,46.4,7.059,1.2,8.4,12.8,0.0,-0.3,116.0,1.0025665760040283,-0.0021
2022-07-18,7963.10009765625,156061800,115.45,46.4,7.059,1.2,8.4,12.8,0.0,-0.3,124.0,1.009631872177124,-0.0021
2022-07-19,8125.10009765625,201692300,115.45,46.4,7.059,1.2,8.4,12.8,0.0,-0.3,121.0,1.0145177841186523,-0.0021
